code,dividOperateDate,foreAdjustFactor,backAdjustFactor,adjustFactor,stock_code
sz.300760,2018-10-16,0.898412,1.000000,1.000000,300760
sz.300760,2019-05-29,0.904536,1.006816,1.006816,300760
sz.300760,2020-05-15,0.909631,1.012487,1.012487,300760
sz.300760,2021-05-28,0.914248,1.017627,1.017627,300760
sz.300760,2022-05-19,0.924967,1.029558,1.029558,300760
sz.300760,2023-05-29,0.938272,1.044366,1.044366,300760
sz.300760,2023-11-22,0.952533,1.060241,1.060241,300760
sz.300760,2024-05-28,0.957301,1.065547,1.065547,300760
sz.300760,2024-09-09,0.973628,1.083721,1.083721,300760
sz.300760,2024-11-07,0.979514,1.090272,1.090272,300760
sz.300760,2025-05-29,0.987957,1.099670,1.099670,300760
sz.300760,2025-09-05,0.993531,1.105875,1.105875,300760
sz.300760,2025-11-12,1.000000,1.113075,1.113075,300760
