code,dividOperateDate,foreAdjustFactor,backAdjustFactor,adjustFactor,stock_code
sz.300750,2018-06-11,0.520937,1.000000,1.000000,300750
sz.300750,2019-07-22,0.521944,1.001935,1.001935,300750
sz.300750,2020-06-04,0.522719,1.003421,1.003421,300750
sz.300750,2021-07-05,0.522960,1.003885,1.003885,300750
sz.300750,2022-09-28,0.523753,1.005407,1.005407,300750
sz.300750,2023-04-26,0.948947,1.821618,1.821618,300750
sz.300750,2024-04-30,0.972182,1.866219,1.866219,300750
sz.300750,2025-01-24,0.976848,1.875176,1.875176,300750
sz.300750,2025-04-22,0.996400,1.912710,1.912710,300750
sz.300750,2025-08-20,1.000000,1.919620,1.919620,300750
