code,dividOperateDate,foreAdjustFactor,backAdjustFactor,adjustFactor,stock_code
sh.600754,2016-05-06,0.881668,2.169445,2.169445,600754
sh.600754,2017-06-06,0.897914,2.209419,2.209419,600754
sh.600754,2018-06-19,0.911482,2.242805,2.242805,600754
sh.600754,2019-06-11,0.935229,2.301237,2.301237,600754
sh.600754,2020-06-12,0.954652,2.349030,2.349030,600754
sh.600754,2021-06-18,0.955611,2.351391,2.351391,600754
sh.600754,2022-07-08,0.956405,2.353344,2.353344,600754
sh.600754,2023-06-21,0.957626,2.356349,2.356349,600754
sh.600754,2024-07-12,0.978794,2.408435,1.000000,600754
sh.600754,2024-07-15,0.978794,2.408435,2.408435,600754
sh.600754,2024-09-27,0.983178,2.419223,2.419223,600754
sh.600754,2025-08-01,1.000000,2.460614,1.017109,600754
