code,dividOperateDate,foreAdjustFactor,backAdjustFactor,adjustFactor,stock_code
sh.603993,2016-07-14,0.870369,3.206372,3.206372,603993
sh.603993,2017-05-03,0.876185,3.227796,3.227796,603993
sh.603993,2018-06-26,0.887490,3.269445,3.269445,603993
sh.603993,2019-06-28,0.911957,3.359580,3.359580,603993
sh.603993,2020-06-30,0.922034,3.396702,3.396702,603993
sh.603993,2021-07-06,0.927009,3.415030,3.415030,603993
sh.603993,2022-07-07,0.939488,3.461001,3.461001,603993
sh.603993,2023-07-07,0.953330,3.511992,3.511992,603993
sh.603993,2024-07-08,0.969325,3.570918,3.570918,603993
sh.603993,2025-06-27,1.000000,3.683922,3.683922,603993
