code,dividOperateDate,foreAdjustFactor,backAdjustFactor,adjustFactor,stock_code
sh.601328,2016-07-13,0.587293,1.597990,1.597990,601328
sh.601328,2017-07-07,0.614078,1.670871,1.670871,601328
sh.601328,2018-07-16,0.645211,1.755583,1.755583,601328
sh.601328,2019-07-09,0.678470,1.846077,1.846077,601328
sh.601328,2020-07-14,0.719469,1.957634,1.957634,601328
sh.601328,2021-07-13,0.770631,2.096843,2.096843,601328
sh.601328,2022-07-12,0.828761,2.255010,2.255010,601328
sh.601328,2023-07-12,0.885232,2.408666,2.408666,601328
sh.601328,2024-07-10,0.929674,2.529590,2.529590,601328
sh.601328,2025-01-24,0.952851,2.592655,2.592655,601328
sh.601328,2025-04-18,0.978261,2.661792,2.661792,601328
sh.601328,2025-12-25,1.000000,2.720943,2.720943,601328
